line_item_id,name,fulfillment_service,fulfillment_status,origin_location_id,origin_location_name,origin_location_address1,origin_location_city,origin_location_zip,price,product_id,quantity,requires_shipping,sku,taxable,title,total_discount,variant_id,variant_title,variant_inventory_management,vendor,tax_rate
8977442930863,"Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,17.0,4347192574031.0,1,True,00022,True,"Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,31174079283279.0,,shopify,Campusbier,0.16
8977442996399,Weihnachtsbox - Frühstück,manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,34.9,6125543981231.0,1,True,,True,Weihnachtsbox - Frühstück,0.0,37749145993391.0,,shopify,Campusbier,0.16
8977507254447,Tip,manual,,,,,,,3.29,,1,False,,False,Tip,0.0,,,,,
8977507287215,"Pfand für Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,3.42,,1,True,,False,"Pfand für Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
8977507319983,"Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,29.5,4361509961807.0,1,True,00032,True,"Kiste Campusbier Gemischt (2 x 12 Flaschen à 0,33 Liter)",0.0,31255055335503.0,,shopify,Campusbier,0.16
8977674141871,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,0.96,,2,True,,False,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
8977674174639,"Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,17.0,4347192574031.0,2,True,00022,True,"Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,31174079283279.0,,shopify,Campusbier,0.16
8977750491311,Tip,manual,,,,,,,1.9,,1,False,,False,Tip,0.0,,,,,
8977750524079,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,0.96,,1,True,,False,"Pfand für Twin-Pack Campusbier Haster Dunkel und Hell (2 x 6 Flaschen à 0,33 Liter)",0.0,,,,Campusbier,
8977750589615,Kochbuch Gemüsegärtner,manual,fulfilled,1611453890639.0,Campusbier,Oldenburger Landstraße 62,Osnabrück,49090.0,19.95,6125845938351.0,1,True,,True,Kochbuch Gemüsegärtner,0.0,37750052487343.0,,shopify,Gemüsegärtner,0.16
